Exp,Accuracy,Precision,F1-score,Sensitivity,Specificity,ROC-AUC
aal_whole,0.4985507246376812,0.5345911949685535,0.2467343976777939,0.16037735849056603,0.8534653465346534,0.481804595553895
cc200_whole,0.4985507246376812,0.5462184873949579,0.20030816640986132,0.12264150943396226,0.8930693069306931,0.5206762563048757
ez_whole,0.5323671497584541,0.5231388329979879,0.6824146981627297,0.9811320754716981,0.061386138613861385,0.5483205679058472
